month	KL_ENTRANT_kNIS_per_hour	KL_HAIFA_TOTAL_kNIS_per_hour	KL_LEGACY_kNIS_per_hour
2018-01		5085.0930555557325	553.9944855477372
2018-02		4728.746233862201	510.84809536966793
2018-03		4905.518627192447	524.6762965667626
2018-04		4406.205386821195	465.8693220664717
2018-05		4735.512605927566	494.2040256970042
2018-06		5112.169490119694	525.8362096007934
2018-07		5689.75783908076	576.0150382712845
2018-08		5735.4934891163175	570.716750610737
2018-09		5740.625823028971	560.7418686348414
2018-10		5446.36879475982	521.6034826205498
2018-11		5705.69415902449	535.1568540597486
2018-12		5739.957653004491	526.7022914489893
2019-01		6053.165819738556	551.4693219215661
2019-02		6427.476738462144	580.3301024918693
2019-03		5311.810485734075	474.44183101482383
2019-04		5937.501780357616	523.6706952631972
2019-05		6202.923122205923	539.2291345429092
2019-06		6093.094623640173	521.1314346740705
2019-07		6187.979835058282	519.7610899570244
2019-08		6923.335271841182	570.0768683011838
2019-09		7052.912901106627	568.2940685539122
2019-10		5455.53011497774	429.3961757096385
2019-11		7383.270074000539	566.6620374815482
2019-12		7366.011509337399	550.3100634565741
2020-01		5057.142000256445	375.8332811064414
2020-02		5454.125187083306	403.30142655018346
2020-03		4937.186226412095	363.3307935185961
2020-04		5590.912250056884	409.5720565411991
2020-05		5538.039779997048	403.96008518990885
2020-06		6536.274500869781	474.85338915154324
2020-07		6502.835020611822	470.6442569528007
2020-08		5604.078722615642	404.17559676541066
2020-09		6280.794482831107	451.51472921275933
2020-10		5751.76182371551	412.2544491251258
2020-11		6461.483855755168	461.8690886419435
2020-12		6344.243317299224	452.23282616044816
2021-01		5089.318066145854	361.01146290821765
2021-02		5409.266621029028	382.09400180657025
2021-03		5073.693639828117	357.1268013722218
2021-04		5028.191734207517	352.9190299870147
2021-05		5221.8353676457045	365.72185723568526
2021-06		5096.103579692173	356.39266501175683
2021-07	65.661696766636	5430.373315214547	389.32471762053547
2021-08	58.46189549471112	5348.444026811085	384.34585529130874
2021-09	7857.980062288982	5989.640176857591	417.86871582235955
2021-10	2204.6003923590984	5055.541972280987	367.64981971673365
2021-11	4060.7433914958174	5649.68505541572	405.26551414203135
2021-12	5847.357327158397	5607.445934418259	392.6935169155536
2022-01	7087.251077267805	4766.147867950473	323.59730424393797
2022-02	6206.578059637126	4758.954587529294	324.72597421269256
2022-03	4410.468953134676	4342.166064846873	301.584637544234
2022-04	2767.400322213539	4791.735893077568	357.92033149946695
2022-05	1743.1351355918089	5065.508573765754	431.85275031020586
2022-06	2016.109033588277	5239.087102446049	432.58668153218076
2022-07	1501.8578499258008	5941.255514458534	590.6692943276557
2022-08	1410.4398033612356	5691.67553069426	580.6329311378926
2022-09	1282.1881623582851	6863.666137013934	900.7512462044605
2022-10	1254.9071167426098	6937.13010527433	976.6632395106274
2022-11	999.5903380954674	8001.336676544027	2833.135963619544
2022-12	970.7038590539695	7669.791631119583	2973.718752353819
2023-01	964.9356649623808	7029.812504620519	1913.2932119455947
2023-02	1120.7096300854641	7720.421875131605	1754.209027039566
2023-03	878.0969569221911	8351.597497574376	58106.469685271404
2023-04	849.0175090540278	6769.881889841532	2457.999085780696
2023-05	926.5568890553404	4577.33604188181	589.8035495469552
2023-06	968.6190275811576	5193.063914675338	730.3093856411402
2023-07	938.1489126591565	5263.4638259717085	780.7200600777076
2023-08	1127.6754982152409	4503.331248823992	483.9476792280516
2023-09	964.6582535359906	6469.189616086667	1270.416181079421
2023-10	1309.771012197049	3808.698393876689	349.13110405754907
2023-11	1570.2897057279895	5643.86163255953	574.9233900776709
2023-12	1845.3287974787752	6660.917782543084	684.1629224116133
2024-01	1656.054492433583	7936.458243857754	983.1929129110072
2024-02	1409.4978356175022	6876.326986243516	858.0486844533443
2024-03	1148.3883473896074	8333.552772369465	1811.257368535426
2024-04	1911.8987039982414	7334.603400116692	758.1927234709018
2024-05	1217.296414523138	8292.0141657697	1538.0857635065852
2024-06	1956.8084436063232	7592.717224910203	779.4673639157313
2024-07	1916.8440463746122	6691.893259751429	645.1529125987042
2024-08	1640.1176739324799	6235.531617250076	624.6180144297432
2024-09	1671.703268505272	5943.5389728576265	571.2982907687401
2024-10	1494.6400491269185	6030.684894405617	617.3151735988729
2024-11	1565.9526844867073	5526.272498136406	523.2220867266785
2024-12	1513.288061103331	6456.7168276310995	675.6460403075603
