reform	reform_label	horizon	a	b	TE	TE_se	dC	dC_se	eta	eta_se	ME	RE	share	delta	spec_te	spec_kl	spec_eta
haifa_comp	Haifa competition entry	[1,13]	1	13	0.5536970824324037	1.4209556687511789e-11			-4.902929363691278	3.2969567500139725				0.06	porttr	ts_trend	TS+trend
haifa_comp	Haifa competition entry	[1,12]	1	12	0.5868422230670812	1.5523797100758883e-11	-0.1426747569053257	0.0880443045992429	-4.902929363691278	3.2969567500139725	0.6995242550886362	-0.11268203202155502	1.1920141864241327	0.06	porttr	ts_trend	TS+trend
haifa_priv	Haifa privatization	[1,8]	1	8	0.1403498153318194	0.04399810070516642			-7.215521645622047	0.741823155682964				0.06	porttr	None	TS+trend
haifa_priv	Haifa privatization	[1,8]	1	8	0.1403498153318194	0.04399810070516642			-7.215521645622047	0.741823155682964				0.06	porttr	None	TS+trend
