entity	delta	spec	spec_key	coef_log_KL	se_log_KL	p_log_KL	eta	eta_se	pvalue	N	R2
Haifa--Legacy	0.04	TS+trend	preferred_single	-7.24724391833653	0.7469727304881857	2.952017402207306e-22	-7.24724391833653	0.7469727304881857	2.952017402207306e-22	42	0.8476541936135091
Haifa--Bayport	0.04	TS+trend	preferred_single	2.041204278486373	0.3546209607408127	8.612171678771405e-09	2.041204278486373	0.3546209607408127	8.612171678771405e-09	42	0.7279775195566722
Pooled Haifa terminals	0.04	Pooled+trend+FE	preferred_pooled	0.8132954900509977	0.4933849164462116	0.09927070174618696	0.8132954900509977	0.4933849164462116	0.09927070174618696	84	0.46363479590312573
Haifa--Legacy	0.06	TS+trend	preferred_single	-7.215521645622047	0.741823155682964	2.3190399718345694e-22	-7.215521645622047	0.741823155682964	2.3190399718345694e-22	42	0.8484297598762061
Haifa--Bayport	0.06	TS+trend	preferred_single	2.0364015335850842	0.3528158663592386	7.840421622195805e-09	2.0364015335850842	0.3528158663592386	7.840421622195805e-09	42	0.7293581851176346
Pooled Haifa terminals	0.06	Pooled+trend+FE	preferred_pooled	0.813325942014945	0.4902434884739247	0.09711086219619727	0.813325942014945	0.4902434884739247	0.09711086219619727	84	0.46389682709283975
Haifa--Legacy	0.08	TS+trend	preferred_single	-7.182037574445747	0.7369746057943396	1.9321005969290307e-22	-7.182037574445747	0.7369746057943396	1.9321005969290307e-22	42	0.8489943052662219
Haifa--Bayport	0.08	TS+trend	preferred_single	2.031487779531713	0.35098365441550794	7.1236190502031605e-09	2.031487779531713	0.35098365441550794	7.1236190502031605e-09	42	0.7307706245775791
Pooled Haifa terminals	0.08	Pooled+trend+FE	preferred_pooled	0.8134306707608336	0.4869346284132944	0.09481789174161033	0.8134306707608336	0.4869346284132944	0.09481789174161033	84	0.46417870565654307
