year	month	date	LP	log_LP	delta	scenario	K	L	KL	log_KL	t_index
2018	12	2018-12-01	57.30658161407647	4.048415479499324	0.04	low	12763818.207287256	2073.0925925925926	6156.897310276397	8.725328246239783	0
2019	1	2019-01-01	53.282146863085224	3.975601319397178	0.04	low	12814422.344767464	2196.6607142857147	5833.591988708331	8.671388211181894	1
2019	2	2019-02-01	57.97597106855339	4.060028632782318	0.04	low	12865269.35347587	1900.767857142857	6768.459023088872	8.820028721546626	2
2019	3	2019-03-01	59.44638303526951	4.0850747808363055	0.04	low	12911315.210571917	2245.464285714286	5749.95349189658	8.656947045392872	3
2019	4	2019-04-01	52.649611422262424	3.963658858158873	0.04	low	12962627.699491628	2273.5	5701.617637779471	8.648505209661806	4
2019	5	2019-05-01	54.51291161721329	3.9984375840179425	0.04	low	13012489.304774132	2109.482142857143	6168.570494344001	8.727222403563914	5
2019	6	2019-06-01	58.80679950032776	4.074257485979727	0.04	low	13064286.982805494	2000.4821428571431	6530.569157766499	8.784249378926512	6
2019	7	2019-07-01	56.138434290053496	4.02782068116209	0.04	low	13114620.347983835	2076.1607142857147	6316.765488213087	8.750962566292081	7
2019	8	2019-08-01	56.50472454676223	4.0343242549530896	0.04	low	13166907.443568692	1857.25	7089.4642312928745	8.866365049857441	8
2019	9	2019-09-01	56.79423543349311	4.039434831729812	0.04	low	13219444.846820155	1829.4285714285716	7225.9967146447825	8.885440457049965	9
2019	10	2019-10-01	65.69191669027079	4.184975884287681	0.04	low	13270497.458141126	2064.714285714286	6427.2803021509635	8.768306757638083	10
2019	11	2019-11-01	50.33634060403275	3.918727293462016	0.04	low	13323530.729321344	2012.732142857143	6619.624363134645	8.797793904592218	11
2019	12	2019-12-01	49.860524928675986	3.9092296060920577	0.04	low	13375065.478995746	2061.125	6489.206369820242	8.77789551713908	12
2020	1	2020-01-01	58.14442014139958	4.062929918064779	0.04	low	13363933.52916758	2384.75	5603.9138396761	8.631220532548573	13
2020	2	2020-02-01	55.38861696479575	4.014374102691861	0.04	low	13353083.01599224	2318.2115384615386	5760.079610704509	8.65870657489729	14
2020	3	2020-03-01	57.061611489550614	4.0441315874046175	0.04	low	13343124.961224295	2484.5	5370.5473782347735	8.588685114940306	15
2020	4	2020-04-01	49.091145027047155	3.893678672854916	0.04	low	13332805.215109391	2550.7115384615386	5227.092524602398	8.56161047983852	16
2020	5	2020-05-01	54.379912050913006	3.995994821897261	0.04	low	13323043.855901811	2326.7884615384614	5725.936876570498	8.652761461596334	17
2020	6	2020-06-01	49.844821852743344	3.908914616443671	0.04	low	13313245.095708204	2154.3846153846152	6179.604607569774	8.729009569047328	18
2020	7	2020-07-01	45.169306205306206	3.8104177899139766	0.04	low	13303979.28518599	2395.326923076923	5554.139252146982	8.622298739959168	19
2020	8	2020-08-01	57.55791677357677	4.052791689105295	0.04	low	13294683.4752461	2188.019230769231	6076.127343072828	8.712122821868789	20
2020	9	2020-09-01	51.750679595843486	3.9464375643460814	0.04	low	13285636.511389747	2179.653846153846	6095.296523727011	8.715272691056349	21
2020	10	2020-10-01	48.38552266897733	3.879200650568192	0.04	low	13277085.80699594	2557.1923076923076	5192.056055798795	8.55488505489706	22
2020	11	2020-11-01	45.90810321718783	3.826641642164501	0.04	low	13446242.057802398	2411.673076923077	5575.482923646405	8.626134215652346	23
2020	12	2020-12-01	51.31794401265886	3.938040476837735	0.04	low	13442032.413118768	2210.9807692307695	6079.66952955246	8.712705619790967	24
2021	1	2021-01-01	78.87401446461342	4.367851825881425	0.04	low	13439074.272698049	2704.936170212766	4968.351719604886	8.510843418129241	25
2021	2	2021-02-01	76.65194420863219	4.339274969753249	0.04	low	13437836.25952891	2615.489361702128	5137.790448049743	8.544378392106646	26
2021	3	2021-03-01	79.51820868261099	4.375986035467465	0.04	low	13438920.757105896	2686.68085106383	5002.0532776658465	8.5176037626535	27
2021	4	2021-04-01	83.15012825092363	4.4206477480421205	0.04	low	13444381.793573285	2593.2978723404253	5184.279807178442	8.553386211725668	28
2021	5	2021-05-01	72.896755483295	4.289044131622184	0.04	low	13456133.516191645	2851.297872340426	4719.301216027096	8.459416020167609	29
2021	6	2021-06-01	77.06150630392189	4.3446038861640135	0.04	low	13479141.88337354	2768.6595744680853	4868.472096632953	8.490535428992908	30
2021	7	2021-07-01	0.3587952819157292	-1.0250032985056665	0.04	low	13518117.803771472	2580.950719154392	5237.650491908838	8.563628297356273	31
2021	8	2021-08-01	0.377979146736211	-0.9729162522488455	0.04	low	13586300.27518626	2730.8078815465105	4975.194471568637	8.512219738591249	32
2021	9	2021-09-01	0.1098432800635779	-2.2087006557725677	0.04	low	13700089.804063912	2290.201277614755	5982.046179946489	8.696517958977296	33
2021	10	2021-10-01	0.9934411330441072	-0.006580470840247311	0.04	low	13880024.3667774	2606.1548363861057	5325.863288316556	8.580330097309274	34
2018	12	2018-12-01	57.30658161407647	4.048415479499324	0.06	central	12763818.207287256	2073.0925925925926	6156.897310276397	8.725328246239783	0
2019	1	2019-01-01	53.282146863085224	3.975601319397178	0.06	central	12793461.585698424	2196.6607142857147	5824.049887403052	8.669751155671403	1
2019	2	2019-02-01	57.97597106855339	4.060028632782318	0.06	central	12823216.894057246	1900.767857142857	6746.33509077352	8.81675468690108	2
2019	3	2019-03-01	59.44638303526951	4.0850747808363055	0.06	central	12850098.939659864	2245.464285714286	5722.691303269705	8.6521944812845	3
2019	4	2019-04-01	52.649611422262424	3.963658858158873	0.06	central	12880068.200114096	2273.5	5665.303804756585	8.642115800401312	4
2019	5	2019-05-01	54.51291161721329	3.9984375840179425	0.06	central	12909148.07764445	2109.482142857143	6119.5815861043175	8.719249004885546	5
2019	6	2019-06-01	58.80679950032776	4.074257485979727	0.06	central	12939339.253773548	2000.4821428571431	6468.110350284473	8.774639281510717	6
2019	7	2019-07-01	56.138434290053496	4.02782068116209	0.06	central	12968634.51609541	2076.1607142857147	6246.450203426162	8.73976861392402	7
2019	8	2019-08-01	56.50472454676223	4.0343242549530896	0.06	central	12999048.533643642	1857.25	6999.083878661269	8.853534544995677	8
2019	9	2019-09-01	56.79423543349311	4.039434831729812	0.06	central	13029576.110208822	1829.4285714285716	7122.210898911584	8.87097347571487	9
2019	10	2019-10-01	65.69191669027079	4.184975884287681	0.06	central	13059197.871645138	2064.714285714286	6324.941887602295	8.752256125822651	10
2019	11	2019-11-01	50.33634060403275	3.918727293462016	0.06	central	13089949.700635994	2012.732142857143	6503.572642335983	8.780106942170942	11
