Month	Port	yard_crane_unit	yard_crane_type	yard_crane_in_service
2019-02	Haifa	H-07	ARMG/RMG	0
2019-03	Haifa	H-07	ARMG/RMG	0
2019-04	Haifa	H-07	ARMG/RMG	0
2019-05	Haifa	H-07	ARMG/RMG	0
2019-06	Haifa	H-07	ARMG/RMG	0
2019-07	Haifa	H-07	ARMG/RMG	0
2019-08	Haifa	H-07	ARMG/RMG	0
2019-09	Haifa	H-07	ARMG/RMG	0
2019-10	Haifa	H-07	ARMG/RMG	0
2019-11	Haifa	H-07	ARMG/RMG	0
2019-12	Haifa	H-07	ARMG/RMG	0
2020-01	Haifa	H-07	ARMG/RMG	0
2020-02	Haifa	H-07	ARMG/RMG	0
2020-03	Haifa	H-07	ARMG/RMG	0
2020-04	Haifa	H-07	ARMG/RMG	0
2020-05	Haifa	H-07	ARMG/RMG	0
2020-06	Haifa	H-07	ARMG/RMG	0
2020-07	Haifa	H-07	ARMG/RMG	0
2020-08	Haifa	H-07	ARMG/RMG	0
2020-09	Haifa	H-07	ARMG/RMG	0
2020-10	Haifa	H-07	ARMG/RMG	0
2020-11	Haifa	H-07	ARMG/RMG	0
2020-12	Haifa	H-07	ARMG/RMG	0
2021-01	Haifa	H-07	ARMG/RMG	0
2021-02	Haifa	H-07	ARMG/RMG	0
2021-03	Haifa	H-07	ARMG/RMG	0
2021-04	Haifa	H-07	ARMG/RMG	0
2021-05	Haifa	H-07	ARMG/RMG	0
2021-06	Haifa	H-07	ARMG/RMG	0
2021-07	Haifa	H-07	ARMG/RMG	0
2021-08	Haifa	H-07	ARMG/RMG	0
2021-09	Haifa	H-07	ARMG/RMG	1
2021-10	Haifa	H-07	ARMG/RMG	1
2021-11	Haifa	H-07	ARMG/RMG	1
2021-12	Haifa	H-07	ARMG/RMG	1
