entity	eta_family	eta_source	eta_role	spec	delta	eta	eta_se	pvalue	N	R2	preferred_flag	status	reason	notes	eta_usage_class
Haifa--Legacy	manual	HPC_labor_share	preferred	manual		0.251					1	ok	preferred manual labor-share / Cobb-Douglas elasticity	Entity-specific terminal-operator labor-share alpha for Haifa-Legacy.	preferred_manual
Haifa--Legacy	manual	one_third_benchmark	robustness	manual		0.3333333333333333					0	ok	standard Cobb-Douglas benchmark	Common alpha=1/3 benchmark used for robustness.	manual_robustness
Haifa--Legacy	manual	hazan_tsur_benchmark	robustness	manual		0.42					0	ok	literature benchmark	Israeli benchmark from related productivity-accounting discussion.	manual_robustness
Haifa--Bayport	manual	SIPG_group_proxy	diagnostic	manual		0.658					0	ok	diagnostic only	Group-level SIPG labor-share proxy, not preferred for main accounting.	diagnostic
Haifa port cluster	manual	Haifa_port_HPC_IPC_2024_proxy	preferred	manual		0.6520393372491453					1	ok	default preferred manual aggregate proxy from 2024 HPC+IPC annual-report objects	HPC+IPC 2024 proxy: labor_total=528.364, va_total=1518.459, labor_share=0.347961, alpha=0.652039.	preferred_manual_aggregate
