row_key	row_label	horizon	lp_family	lp_spec	kl_spec	eta_interpretation_class	TE	TE_se	TE_ci	TE_R2	dC	dC_se	dC_ci	eta	eta_se	CD	CD_se	CD_ci	share_explained	share_se	share_ci	sign_consistent	share_valid	kl_component_windows	kl_component_month_weights	warning_flags
privatization_legacy	Haifa privatization - Legacy	[1,7]	NYT	Baseline	Baseline	preferred_manual	-1.038705860462145	0.0646446648704966	[-1.165,-0.912]	0.8970271780336675	-0.515662359013231	0.3894905327371924	[-1.279,0.248]	0.251		-0.12943125211232098	0.09776212371703528	[-0.321,0.062]	0.12460818508786879	0.09443811609091708	[-0.060,0.310]	True	True	[1,6]; [7,12]	6; 1	
privatization_legacy	Haifa privatization - Legacy	[1,7]	NYT	Baseline	Baseline	manual_robustness	-1.038705860462145	0.0646446648704966	[-1.165,-0.912]	0.8970271780336675	-0.515662359013231	0.3894905327371924	[-1.279,0.248]	0.3333333333333333		-0.17188745300441033	0.12983017757906415	[-0.426,0.083]	0.16548231751376996	0.12541582482193506	[-0.080,0.411]	True	True	[1,6]; [7,12]	6; 1	
privatization_legacy	Haifa privatization - Legacy	[1,7]	NYT	Baseline	Baseline	manual_robustness	-1.038705860462145	0.0646446648704966	[-1.165,-0.912]	0.8970271780336675	-0.515662359013231	0.3894905327371924	[-1.279,0.248]	0.42		-0.216578190785557	0.1635860237496208	[-0.537,0.104]	0.20850772006735016	0.15802393927563818	[-0.101,0.518]	True	True	[1,6]; [7,12]	6; 1	
privatization_legacy	Haifa privatization - Legacy	[1,7]	NYT	Baseline	Baseline	regression_robustness	-1.038705860462145	0.0646446648704966	[-1.165,-0.912]	0.8970271780336675	-0.515662359013231	0.3894905327371924	[-1.279,0.248]	0.2973714495310104	0.0273679567527447	-0.1533432631683448	0.11667998074141586	[-0.382,0.075]	0.14762914989246206	0.1127071877602589	[-0.073,0.369]	True	True	[1,6]; [7,12]	6; 1	
privatization_legacy	Haifa privatization - Legacy	[1,7]	NYT	+Tr	Controls+Trend	preferred_manual	-0.8017354820961411	0.0768197907359864	[-0.952,-0.651]	0.8349536799473694	-0.02818276034209899	0.4124019753453052	[-0.836,0.780]	0.251		-0.007073872845866846	0.1035128958116716	[-0.210,0.196]	0.0088232004243746	0.12911380023115002	[-0.244,0.262]	True	True	[1,6]; [7,12]	6; 1	
privatization_legacy	Haifa privatization - Legacy	[1,7]	NYT	+Tr	Controls+Trend	manual_robustness	-0.8017354820961411	0.0768197907359864	[-0.952,-0.651]	0.8349536799473694	-0.02818276034209899	0.4124019753453052	[-0.836,0.780]	0.3333333333333333		-0.00939425344736633	0.13746732511510174	[-0.279,0.260]	0.01171739764193174	0.17146587016088982	[-0.324,0.348]	True	True	[1,6]; [7,12]	6; 1	
privatization_legacy	Haifa privatization - Legacy	[1,7]	NYT	+Tr	Controls+Trend	manual_robustness	-0.8017354820961411	0.0768197907359864	[-0.952,-0.651]	0.8349536799473694	-0.02818276034209899	0.4124019753453052	[-0.836,0.780]	0.42		-0.011836759343681575	0.17320882964502818	[-0.351,0.328]	0.01476392102883399	0.21604699640272118	[-0.409,0.438]	True	True	[1,6]; [7,12]	6; 1	
privatization_legacy	Haifa privatization - Legacy	[1,7]	NYT	+Tr	Controls+Trend	regression_robustness	-0.8017354820961411	0.0768197907359864	[-0.952,-0.651]	0.8349536799473694	-0.02818276034209899	0.4124019753453052	[-0.836,0.780]	0.2973714495310104	0.0273679567527447	-0.008380748294715051	0.12263899867682455	[-0.249,0.232]	0.010453258564537453	0.1529701882854298	[-0.289,0.310]	True	True	[1,6]; [7,12]	6; 1	
privatization_legacy	Haifa privatization - Legacy	[1,7]	Conventional DiD	Baseline	Baseline	preferred_manual	-1.038705860462145	0.0646446648704966	[-1.165,-0.912]	0.8970271780336675	-0.515662359013231	0.3894905327371924	[-1.279,0.248]	0.251		-0.12943125211232098	0.09776212371703528	[-0.321,0.062]	0.12460818508786879	0.09443811609091708	[-0.060,0.310]	True	True	[1,6]; [7,12]	6; 1	
privatization_legacy	Haifa privatization - Legacy	[1,7]	Conventional DiD	Baseline	Baseline	manual_robustness	-1.038705860462145	0.0646446648704966	[-1.165,-0.912]	0.8970271780336675	-0.515662359013231	0.3894905327371924	[-1.279,0.248]	0.3333333333333333		-0.17188745300441033	0.12983017757906415	[-0.426,0.083]	0.16548231751376996	0.12541582482193506	[-0.080,0.411]	True	True	[1,6]; [7,12]	6; 1	
