kind	reform	target	design	spec_name	window_name	m_start	m_end	n_rows
m1a	haifa_priv	Haifa-Bayport	NYT	baseline	post_late	5	7	1
m1a	haifa_priv	Haifa-Bayport	NYT	baseline	post_y1	1	4	1
m1a	haifa_priv	Haifa-Bayport	NYT	porttr	avg_pre	-4	-2	1
m1a	haifa_priv	Haifa-Bayport	NYT	porttr	full_post	1	7	1
m1a	haifa_priv	Haifa-Bayport	NYT	porttr	post_late	5	7	1
m1a	haifa_priv	Haifa-Bayport	NYT	porttr	post_y1	1	4	1
m1a	haifa_priv	Haifa-Bayport	TWFE	baseline	avg_pre	-4	-2	1
m1a	haifa_priv	Haifa-Bayport	TWFE	baseline	full_post	1	7	1
m1a	haifa_priv	Haifa-Bayport	TWFE	baseline	post_late	5	7	1
m1a	haifa_priv	Haifa-Bayport	TWFE	baseline	post_y1	1	4	1
m1a	haifa_priv	Haifa-Bayport	TWFE	porttr	avg_pre	-4	-2	1
m1a	haifa_priv	Haifa-Bayport	TWFE	porttr	full_post	1	7	1
m1a	haifa_priv	Haifa-Bayport	TWFE	porttr	post_late	5	7	1
m1a	haifa_priv	Haifa-Bayport	TWFE	porttr	post_y1	1	4	1
m1a	haifa_priv	Haifa-Legacy	NYT	baseline	avg_pre	-4	-2	1
m1a	haifa_priv	Haifa-Legacy	NYT	baseline	full_post	1	7	1
m1a	haifa_priv	Haifa-Legacy	NYT	baseline	post_late	5	7	1
m1a	haifa_priv	Haifa-Legacy	NYT	baseline	post_y1	1	4	1
m1a	haifa_priv	Haifa-Legacy	NYT	porttr	avg_pre	-4	-2	1
m1a	haifa_priv	Haifa-Legacy	NYT	porttr	full_post	1	7	1
m1a	haifa_priv	Haifa-Legacy	NYT	porttr	post_late	5	7	1
m1a	haifa_priv	Haifa-Legacy	NYT	porttr	post_y1	1	4	1
m1a	haifa_priv	Haifa-Legacy	TWFE	baseline	avg_pre	-4	-2	1
m1a	haifa_priv	Haifa-Legacy	TWFE	baseline	full_post	1	7	1
m1a	haifa_priv	Haifa-Legacy	TWFE	baseline	post_late	5	7	1
m1a	haifa_priv	Haifa-Legacy	TWFE	baseline	post_y1	1	4	1
m1a	haifa_priv	Haifa-Legacy	TWFE	porttr	avg_pre	-4	-2	1
m1a	haifa_priv	Haifa-Legacy	TWFE	porttr	full_post	1	7	1
m1a	haifa_priv	Haifa-Legacy	TWFE	porttr	post_late	5	7	1
m1a	haifa_priv	Haifa-Legacy	TWFE	porttr	post_y1	1	4	1
