entity	eta_family	eta_source	eta_role	spec	delta	eta	eta_se	pvalue	N	R2	preferred_flag	status	reason	notes	eta_usage_class
Haifa--Legacy	regression	legacy_ts_trend	robustness	TS+trend		0.2973714495310104	0.027367956752744747	1.6796787914728816e-27	14	0.8872997481180448	0	ok	HC1 time-series regression	Reduced-form co-movement estimate, not structural.	regression_robustness
Haifa--Bayport	regression	bayport_ts_trend	robustness	TS+trend		0.1399754607144736	0.06990350475242796	0.045240678813027776	14	0.25553628536433093	0	ok	HC1 time-series regression	Reduced-form co-movement estimate, not structural.	regression_robustness
Pooled Haifa terminals	regression	pooled_trend_fe	robustness	Pooled+trend+FE		0.23646332249089963	0.03942232852415994	1.9950699276202313e-09	28	0.6231703494646639	0	ok	HC1 pooled regression	Pooled terminal regression with entity fixed effects and linear time trend.	regression_robustness
Haifa port cluster	regression	cluster_ts_trend	robustness	TS+trend		0.5570097682663729	0.06696244849745914	8.927852156904576e-17	44	0.6213994121404087	0	ok	HC1 aggregate time-series regression	Aggregate-port robustness regression only.	aggregate_regression_fallback
