family	series_id	series_display	is_main_series	reform	reform_display	spec_name	bin_key	token	bin_label	a_bin	b_bin	is_reference	n_months_observed	a_used	b_used	beta	se	pvalue	n_obs	r2
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	0.08484114771189422	0.028210667205596916	0.0026348090344356055	37	0.5341517611203004
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.05421291011041429	0.010419744505573475	1.9620028624177055e-07	37	0.5341517611203004
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		37	0.5341517611203004
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	0.08362449415859441	2.9582522575834598e-08	0.0	37	0.5341517611203004
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.09217030757943956	0.040580315919824035	0.02312847137888559	37	0.5341517611203004
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	0.30958752423281677	0.11851948337133866	0.008998175013243124	37	0.5341517611203004
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_13_tail	post_13_tail	Post bin [13,24]	13	24	0	12	13.0	24.0	1.6587405044545913	0.14663107852798887	1.1400878476508766e-29	37	0.5341517611203004
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	-0.44739531983679726	0.8100534649686819	0.5807404702970083	37	0.5445816259437768
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.24206107512759933	0.2889964967400151	0.4022600401447075	37	0.5445816259437768
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		37	0.5445816259437768
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	0.14624054916432438	0.09521394665289415	0.12455917647185176	37	0.5445816259437768
