family	series_id	series_display	is_main_series	reform	reform_display	spec_name	window_key	window_label	a_req	b_req	a_used	b_used	n_months_used	supported_full_window	beta	se	pvalue	n_obs	r2
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	post_13_tail	Average post, months 13-24	13	24	13	24	12	1	0.6920867889177196	0.2715326680047235	0.010808933498175799	37	0.5047644405201261
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	post_full	Average full post, months 1-24	1	24	1	24	24	1	0.44135478447117743	0.1934242010081846	0.022501321005265584	37	0.5047644405201261
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	-0.1616682852416284	0.02181596064853694	1.2567724638756772e-13	36	0.422612218827938
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	1	-0.21928346973110457	0.08236758683875463	0.007761919222837532	36	0.422612218827938
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	1	-0.35135532399530955	0.04840548054842693	3.9124259387790516e-13	36	0.422612218827938
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_13_tail	Average post, months 13-23	13	23	13	23	11	1	-0.19493944706650534	0.1028358673887828	0.05800809730055212	36	0.422612218827938
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_full	Average full post, months 1-23	1	23	1	23	23	1	-0.2420942034821758	0.052789980626047894	4.5184513561835615e-06	36	0.422612218827938
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	-0.2473189903950613	0.05844171514710115	2.3173432493139856e-05	36	0.4691687136142122
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	1	-0.1218188742116828	0.09985510794270244	0.22248141790929532	36	0.4691687136142122
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	1	-0.16725553245861935	0.1025411019493333	0.10286769600991619	36	0.4691687136142122
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_13_tail	Average post, months 13-23	13	23	13	23	11	1	0.1516013370025613	0.20963968832465935	0.4695865719709438	36	0.4691687136142122
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_full	Average full post, months 1-23	1	23	1	23	23	1	-0.0029057275214625436	0.14084158197236446	0.9835398705877889	36	0.4691687136142122
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-2	-2	1	0				27	0.9594592272261699
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	1	4.377011832598844	0.12035824623601357	0.0	27	0.9594592272261699
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	1	3.385036045393929	0.09756989948870662	0.0	27	0.9594592272261699
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_13_tail	Average post, months 13-24	13	24	13	24	12	1	2.9050194196047823	0.03340619609530858	0.0	27	0.9594592272261699
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_full	Average full post, months 1-24	1	24	1	24	24	1	3.393021679300584	0.0484230588507585	0.0	27	0.9594592272261699
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-2	-2	1	0				27	0.9714639593552423
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	1	4.305474820161402	0.18813288157606142	0.0	27	0.9714639593552423
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	1	3.3153590254223055	0.3518667654106824	0.0	27	0.9714639593552423
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_13_tail	Average post, months 13-24	13	24	13	24	12	1	3.0555334143429147	0.4800013113335681	1.9442980558892486e-10	27	0.9714639593552423
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_full	Average full post, months 1-24	1	24	1	24	24	1	3.4329751685673844	0.36833548022245655	0.0	27	0.9714639593552423
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	0.6470875828882834	0.11760479168166443	3.75035913435795e-08	36	0.7475771882853943
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	1	-0.028886486235337294	0.017935480496988232	0.10727178161192596	36	0.7475771882853943
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	1	0.07182236824547328	0.020865060378414263	0.0005769362688359259	36	0.7475771882853943
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_13_tail	Average post, months 13-23	13	23	13	23	11	1	0.05968791784321281	0.06625397635452027	0.36764381433350035	36	0.7475771882853943
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_full	Average full post, months 1-23	1	23	1	23	23	1	0.039747060362441605	0.034503934034709756	0.249338600359982	36	0.7475771882853943
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	0.5401669479847654	0.17137609462380515	0.0016219030901032383	36	0.7604414970245664
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	1	0.09278182244797151	0.15464332201592162	0.5485242099150587	36	0.7604414970245664
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	1	0.3016402846472821	0.2942662098340844	0.30533525685599106	36	0.7604414970245664
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_13_tail	Average post, months 13-23	13	23	13	23	11	1	0.49228634871721244	0.5871146186896967	0.4017588011958324	36	0.7604414970245664
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_full	Average full post, months 1-23	1	23	1	23	23	1	0.338334020802646	0.39659579872776457	0.393606445151903	36	0.7604414970245664
