port	year	month	date	L_hours_port
Haifa	2019	10	2019-10-31	2423.7757766911327
Haifa	2019	11	2019-11-30	1810.456800625956
Haifa	2019	12	2019-12-31	1836.4610517702415
Haifa	2020	1	2020-01-31	2669.5045169615605
Haifa	2020	2	2020-02-29	2472.02775776068
Haifa	2020	3	2020-03-31	2729.3723801250935
Haifa	2020	4	2020-04-30	2410.7061037670483
Haifa	2020	5	2020-05-31	2435.988093015271
Haifa	2020	6	2020-06-30	2067.393021858213
Haifa	2020	7	2020-07-31	2082.993787300281
Haifa	2020	8	2020-08-31	2424.5768849614974
Haifa	2020	9	2020-09-30	2171.6175579642277
Haifa	2020	10	2020-10-31	2382.092297986978
Haifa	2020	11	2020-11-30	2131.5108286526456
Haifa	2020	12	2020-12-31	2184.409077338815
Haifa	2021	1	2021-01-31	2717.6274413264255
Haifa	2021	2	2021-02-28	2553.7306261182134
Haifa	2021	3	2021-03-31	2721.3325743128707
Haifa	2021	4	2021-04-30	2746.71930105297
Haifa	2021	5	2021-05-31	2647.583959012671
Haifa	2021	6	2021-06-30	2717.728104573316
Haifa	2021	7	2021-07-31	2556.8643381526936
Haifa	2021	8	2021-08-31	2604.4821584781084
Haifa	2021	9	2021-09-30	2357.295547536139
Haifa	2021	10	2021-10-31	2858.636129051989
Haifa	2021	11	2021-11-30	2642.0402238872603
Haifa	2021	12	2021-12-31	2771.768196187416
Haifa	2022	1	2022-01-31	3253.113403121847
Haifa	2022	2	2022-02-28	3252.4890325562765
Haifa	2022	3	2022-03-31	3561.208084167134
Haifa	2022	4	2022-04-30	3226.279685224111
Haifa	2022	5	2022-05-31	3053.3460678376714
Haifa	2022	6	2022-06-30	2955.687099718713
Haifa	2022	7	2022-07-31	2611.311489031081
Haifa	2022	8	2022-08-31	2732.9009015952615
Haifa	2022	9	2022-09-30	2273.7100206673344
Haifa	2022	10	2022-10-31	2258.572053267841
Haifa	2022	11	2022-11-30	1967.2695894645135
Haifa	2022	12	2022-12-31	2063.1925969888803
Haifa	2023	1	2023-01-31	2244.535421486108
Haifa	2023	2	2023-02-28	2038.6420587579373
Haifa	2023	3	2023-03-31	1880.571177709538
Haifa	2023	4	2023-04-30	2315.908823514025
Haifa	2023	5	2023-05-31	3420.5746226410674
