month	KL_ENTRANT_kNIS_per_hour	KL_HAIFA_TOTAL_kNIS_per_hour	KL_LEGACY_kNIS_per_hour
2018-01		4894.919808190789	533.2760976661667
2018-02		4898.997896075191	529.2404414744813
2018-03		4912.360020670148	525.408026943514
2018-04		4702.273157547127	497.1726498791882
2018-05		4732.6329339917265	493.90349952765206
2018-06		4771.774332620016	490.82326651820694
2018-07		5652.243342762042	572.2171764564405
2018-08		5718.668051786513	569.0425164862119
2018-09		5795.3162025168895	566.084001450288
2018-10		5534.770813228179	530.0698209170212
2018-11		5626.061306920632	527.6878125331709
2018-12		5726.901344167324	525.5042359583182
2019-01		5892.106759092627	536.79615194593
2019-02		5890.619384700401	531.8578176732066
2019-03		5896.814922058226	526.6934270886753
2019-04		6051.451056419488	533.7206958909806
2019-05		6073.475367361693	527.9760528203111
2019-06		6103.315057568851	522.0055700232213
2019-07		6649.333570589339	558.5126254867307
2019-08		6698.51382815792	551.5647640176915
2019-09		6756.102054592294	544.3782984428003
2019-10		6534.499622086834	514.3201648171295
2019-11		6605.715425475357	506.98513321414276
2019-12		6684.932927091156	499.42711311910455
2020-01		5145.557215314451	382.40406364988144
2020-02		5138.957762041309	379.99659437973634
2020-03		5136.164257918297	377.97371820577246
2020-04		5848.080532091489	428.4113688822233
2020-05		5853.527097407783	426.97261104389327
2020-06		5863.267788530272	425.9601674495435
2020-07		6083.9870718757	440.33003538877733
2020-08		6102.921162276635	440.1529537443989
2020-09		6126.261054520105	440.40560611871564
2020-10		6136.698675462293	439.8445918724342
2020-11		6168.720982409871	440.9422977501343
2020-12		6207.10545268476	442.45731141638095
2021-01		5100.616405111185	361.8129121053978
2021-02		5094.3247134381545	359.8474715024123
2021-03		5091.889972989379	358.40760362791434
2021-04		5018.369582998487	352.22963223523567
2021-05		5023.535200010361	351.83350180282474
2021-06		5032.465256489238	351.94216057272735
2021-07	76.79340046845644	5525.302535926046	394.79769270971667
2021-08	76.21092664386126	5543.289139336633	396.03560518646594
2021-09	2496.5681760427915	5618.66914439177	397.82455449474395
2021-10	2031.3335043447714	5442.686733609656	400.4354684810472
2021-11	4031.5248354867367	5621.476550605676	403.3145158867914
2021-12	6688.411118254788	5853.40725873268	406.7310929448694
2022-01	2637.777755645149	4546.949739120809	341.37100105333207
2022-02	2641.6704869205755	4539.2159025124165	339.4821016563519
2022-03	2657.4837590901134	4534.790394861651	338.07466934175534
2022-04	1561.627711083949	4960.361936001649	435.4355410480048
2022-05	1584.5327036282195	4962.69476950957	434.8461639544929
2022-06	1614.2139340307644	4968.5830639698415	434.8634135658835
2022-07	1487.1603001989438	6155.466758773198	628.6770921780588
2022-08	1525.97403226525	6171.462555715049	630.4319545945762
2022-09	1570.7550846546806	6191.776999677664	633.0411482229583
2022-10	1363.0863063042634	7746.032246387256	1129.2181152234123
2022-11	1410.650755058533	7782.012682428472	1136.8412071075545
2022-12	1463.1183741371945	7823.279511676335	1145.942913979166
2023-01	1131.8874025368013	6329.7610900674235	975.8016188566489
2023-02	1123.3020972847241	6313.920733590405	971.1311735664226
2023-03	1114.7819111126066	6300.520719907912	968.1939584791784
2023-04	932.3375895462925	5133.826797569843	755.2982065218454
2023-05	925.2658589251181	5126.849038467331	755.6884156726486
2023-06	918.247767001492	5121.839404225598	757.409367985943
2023-07	951.7831468607318	5347.1545677253025	794.5511404361212
2023-08	944.5639227300732	5346.008751022173	799.1063942672623
2023-09	937.399456027323	5346.894406281153	805.0284886413805
2023-10	1356.8202973901589	6180.318001980602	735.3791335024586
2023-11	1346.5288881923873	6186.006933407522	743.1941805608285
2023-12	1336.315538781516	6194.014908289514	752.2257474162778
2024-01	1597.2247197087095	7311.517109690278	871.80930079513
2024-02	1585.1098558590634	7289.279365939203	865.3161963723774
2024-03	1573.0868826020712	7267.791443890043	859.0747145624687
2024-04	1714.036851215383	7616.807218149527	867.0029545792603
2024-05	1701.0359736121752	7595.791838225839	861.1681292701327
2024-06	1688.1337069684307	7575.5572933670355	855.5860877613898
2024-07	1601.1885933890399	6481.885708785527	677.9898120029977
2024-08	1589.0436637700864	6465.861324935894	673.939559287548
2024-09	1576.9908527910345	6450.500643898663	670.0885914802388
2024-10	1366.3555674369395	6149.891743906215	676.2887573562108
2024-11	1355.9918337271813	6136.476107868573	672.7830504947839
2024-12	1345.7067083818679	6123.688920335613	669.4773197365038
