design	table_group	reform	target	target_key	spec_name	bin_label	a	b	beta	se	t	pvalue	n_event_obs	n_obs	r2	within_r2	se_type
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	pre_4_2	-4	-2	0.004880158612711627	0.06665034471038588	0.0732203056700946	0.9416308081688395	3	26	0.9152602817780046	0.38456650575373696	HC1
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	q0	0	0	0.03654374896026358	0.021864717943902854	1.671356980411178	0.09465118781536096	1	26	0.9152602817780046	0.38456650575373696	HC1
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	q1	1	1	0.03722342016438285	0.04372943588780556	0.8512211376310713	0.39464652302745573	1	26	0.9152602817780046	0.38456650575373696	HC1
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	q2	2	2	-0.04642042795786594	0.0655941538317087	-0.7076915433190016	0.4791368301551302	1	26	0.9152602817780046	0.38456650575373696	HC1
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	q3	3	3	0.11512831543437185	0.08745887177561149	1.3163709192333326	0.18804957812267453	1	26	0.9152602817780046	0.38456650575373696	HC1
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	q4	4	4	0.20221174366857841	0.10932358971951436	1.8496624945026245	0.06436220936245492	1	26	0.9152602817780046	0.38456650575373696	HC1
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	y2_q5_8	5	8	0.0	0.0			0	26	0.9152602817780046	0.38456650575373696	HC1
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	y3_q9_12	9	12	0.0	0.0			0	26	0.9152602817780046	0.38456650575373696	HC1
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	y4p_q13_40	13	40	0.0	0.0			0	26	0.9152602817780046	0.38456650575373696	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	pre_8_5	-8	-5	-0.1890742952391562	0.020836955999043807	-9.073988314215987	1.1473842498962077e-19	4	32	0.978766511052472	0.941913674243182	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	pre_4_2	-4	-2	-0.17923377630187617	0.043180308924350846	-4.150822001201575	3.312833368753316e-05	3	32	0.978766511052472	0.941913674243182	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	q0	0	0	0.3178472598394542	2.1589522492615123e-14	14722292257653.06	0.0	1	32	0.978766511052472	0.941913674243182	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	q1	1	1	-0.020321935064384004	1.823943480143432e-14	-1114175701474.3638	0.0	1	32	0.978766511052472	0.941913674243182	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	q2	2	2	-0.10257138437867785	1.9871678173877946e-14	-5161687074497.398	0.0	1	32	0.978766511052472	0.941913674243182	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	q3	3	3	-0.24403908408015268	1.7430620425805133e-14	-14000596543245.553	0.0	1	32	0.978766511052472	0.941913674243182	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	q4	4	4	-0.04969586566400819	1.3327249678143774e-14	-3728891321478.555	0.0	1	32	0.978766511052472	0.941913674243182	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	y2_q5_8	5	8	-0.46921402694426395	0.08065542266593628	-5.817513707512069	5.972936547323446e-09	3	32	0.978766511052472	0.941913674243182	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	y3_q9_12	9	12	0.0	0.0			0	32	0.978766511052472	0.941913674243182	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	y4p_q13_40	13	40	0.0	0.0			0	32	0.978766511052472	0.941913674243182	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	pre_8_5	-8	-5	-0.13815123709872323	0.13454545048706948	-1.0267997661652655	0.3045147595209733	4	32	0.7104134149508838	0.4649448197986017	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	pre_4_2	-4	-2	-0.17561924500236503	0.06559951686644157	-2.67714235395849	0.0074253079235323425	3	32	0.7104134149508838	0.4649448197986017	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	q0	0	0	0.19780840226991359	0.024188599708158134	8.177753348954647	2.8918495270553376e-16	1	32	0.7104134149508838	0.4649448197986017	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	q1	1	1	-0.07217802221411584	0.04837719941631636	-1.4919843042789305	0.13570326008130953	1	32	0.7104134149508838	0.4649448197986017	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	q2	2	2	-0.1585614855781401	0.07256579912447457	-2.1850718587988567	0.028883578222328343	1	32	0.7104134149508838	0.4649448197986017	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	q3	3	3	-0.3401921907496226	0.0967543988326329	-3.5160384938992983	0.00043803746972325764	1	32	0.7104134149508838	0.4649448197986017	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	q4	4	4	0.038354966887605535	0.1209429985407909	0.31713259428299534	0.7511429937193214	1	32	0.7104134149508838	0.4649448197986017	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	y2_q5_8	5	8	-0.1783835386001975	0.1864708435458285	-0.9566296543103084	0.33875421566374075	3	32	0.7104134149508838	0.4649448197986017	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	y3_q9_12	9	12	0.0	0.0			0	32	0.7104134149508838	0.4649448197986017	HC1
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	y4p_q13_40	13	40	0.0	0.0			0	32	0.7104134149508838	0.4649448197986017	HC1
