Port	Month-Year	Total loaded and unloaded in thousands of tons
Eilat	07-2017	253
Eilat	08-2017	244
Eilat	09-2017	132
Eilat	10-2017	227
Eilat	11-2017	236
Eilat	12-2017	260
Eilat	01-2018	235
Eilat	02-2018	144
Eilat	03-2018	92
Eilat	04-2018	164
Eilat	05-2018	131
Eilat	06-2018	208
Eilat	07-2018	98
Eilat	08-2018	214
Eilat	09-2018	181
Eilat	10-2018	216
Eilat	11-2018	277
Eilat	12-2018	329
Eilat	01-2019	154
Eilat	02-2019	175
Eilat	03-2019	196
Eilat	04-2019	235
Eilat	05-2019	132
Eilat	06-2019	231
Eilat	07-2019	142
Eilat	08-2019	241
Eilat	09-2019	79
Eilat	10-2019	79
Eilat	11-2019	119
Eilat	12-2019	164
Eilat	01-2020	84
Eilat	02-2020	98
Eilat	03-2020	189
Eilat	04-2020	198
Eilat	05-2020	173
Eilat	06-2020	254
Eilat	07-2020	163
Eilat	08-2020	226
Eilat	09-2020	169
Eilat	10-2020	218
Eilat	11-2020	201
Eilat	12-2020	252
Eilat	01-2021	65
Eilat	02-2021	145
Eilat	03-2021	194
Eilat	04-2021	83
Eilat	05-2021	214
Eilat	06-2021	211
Eilat	07-2021	98
Haifa	01-2010	1,675
Haifa	02-2010	1,616
Haifa	03-2010	1,954
Haifa	04-2010	1,878
Haifa	05-2010	1,900
Haifa	06-2010	1,939
Haifa	07-2010	1,991
Haifa	08-2010	1,937
Haifa	09-2010	1,774
Haifa	10-2010	1,768
Haifa	11-2010	1,721
Haifa	12-2010	1,685
Haifa	01-2011	1,525
Haifa	02-2011	1,737
Haifa	03-2011	2,081
Haifa	04-2011	1,911
Haifa	05-2011	2,015
Haifa	06-2011	2,142
Haifa	07-2011	1,949
Haifa	08-2011	2,038
Haifa	09-2011	1,657
Haifa	10-2011	2,000
Haifa	11-2011	1,855
Haifa	12-2011	1,642
Haifa	01-2012	2,052
Haifa	02-2012	1,620
Haifa	03-2012	2,279
Haifa	04-2012	2,064
Haifa	05-2012	2,277
Haifa	06-2012	1,909
Haifa	07-2012	2,015
Haifa	08-2012	2,057
Haifa	09-2012	1,827
Haifa	10-2012	1,994
Haifa	11-2012	1,875
Haifa	12-2012	2,018
Haifa	01-2013	2,188
Haifa	02-2013	2,107
Haifa	03-2013	2,219
Haifa	04-2013	2,419
Haifa	05-2013	2,464
Haifa	06-2013	2,138
Haifa	07-2013	2,272
Haifa	08-2013	2,359
Haifa	09-2013	1,916
Haifa	10-2013	1,745
