Port	Month-Year	TEU_thousands
Ashdod	10-2012	97.414
Ashdod	11-2012	85.932
Ashdod	12-2012	89.904
Ashdod	01-2013	89.926
Ashdod	02-2013	96.528
Ashdod	03-2013	91.882
Ashdod	04-2013	104.279
Ashdod	05-2013	111.714
Ashdod	06-2013	101.692
Ashdod	07-2013	108.589
Ashdod	08-2013	107.306
Ashdod	09-2013	85.071
Ashdod	10-2013	101.386
Ashdod	11-2013	89.345
Ashdod	12-2013	93.95
Ashdod	01-2014	107.357
Ashdod	02-2014	108.099
Ashdod	03-2014	102.626
Ashdod	04-2014	93.827
Ashdod	05-2014	109.065
Ashdod	06-2014	116.241
Ashdod	07-2014	100.992
Ashdod	08-2014	100.807
Ashdod	09-2014	100.582
Ashdod	10-2014	98.121
Ashdod	11-2014	97.901
Ashdod	12-2014	114.088
Ashdod	01-2015	96.537
Ashdod	02-2015	87.184
Ashdod	03-2015	122.441
Ashdod	04-2015	107.726
Ashdod	05-2015	110.275
Ashdod	06-2015	122.463
Ashdod	07-2015	116.615
Ashdod	08-2015	115.75
Ashdod	09-2015	95.846
Ashdod	10-2015	114.184
Ashdod	11-2015	104.993
Ashdod	12-2015	112.753
Ashdod	01-2016	107.585
Ashdod	02-2016	118.541
Ashdod	03-2016	127.047
Ashdod	04-2016	113.17
Ashdod	05-2016	134.577
Ashdod	06-2016	124.959
Ashdod	07-2016	132.733
Ashdod	08-2016	135.287
Ashdod	09-2016	119.528
Ashdod	10-2016	95.417
Ashdod	11-2016	120.578
Ashdod	12-2016	113.654
Ashdod	01-2017	126.983
Ashdod	02-2017	117.643
Ashdod	03-2017	126.787
Ashdod	04-2017	121.339
Ashdod	05-2017	139.737
Ashdod	06-2017	140.987
Ashdod	07-2017	133.204
Ashdod	08-2017	130.595
Ashdod	09-2017	115.407
Ashdod	10-2017	122.074
Ashdod	11-2017	123.967
Ashdod	12-2017	126.749
Ashdod	01-2018	121.784
Ashdod	02-2018	108.885
Ashdod	03-2018	122.666
Ashdod	04-2018	117.145
Ashdod	05-2018	109.438
Ashdod	06-2018	132.217
Ashdod	07-2018	142.318
Ashdod	08-2018	136.641
Ashdod	09-2018	95.956
Ashdod	10-2018	137.108
Ashdod	11-2018	130.572
Ashdod	12-2018	122.481
Ashdod	01-2019	122.983
Ashdod	02-2019	134.8
Ashdod	03-2019	117.963
Ashdod	04-2019	134.523
Ashdod	05-2019	129.557
Ashdod	06-2019	138.893
Ashdod	07-2019	149.568
Ashdod	08-2019	132.24
Ashdod	09-2019	127.738
Ashdod	10-2019	113.143
Ashdod	11-2019	119.108
Ashdod	12-2019	117.08
Ashdod	01-2020	118.457
Ashdod	02-2020	125.794
Ashdod	03-2020	119.175
Ashdod	04-2020	114.099
Ashdod	05-2020	121.426
Ashdod	06-2020	136.483
Ashdod	07-2020	143.321
Ashdod	08-2020	145.353
Ashdod	09-2020	136.085
Ashdod	10-2020	144.608
Ashdod	11-2020	138.073
Ashdod	12-2020	141.625
Ashdod	01-2021	133.397
Ashdod	02-2021	119.323
