year	Ashdod_port	Haifa_port	South_port_HCT	Bay_port_SIPG
2014	42	53		
2015	43	54		
2016	43	54		
2017	41	59		
2018	41	54		
2019	42	56		
2020	39	52		
2021	39	47		
2022	37	47		
2023	35	49	28.0	45.0
2024	38	41	61.0	50.0
