year	Ashdod_port	Haifa_port	South_port_HCT	Bay_port_SIPG
2014	27	33		
2015	27	35		
2016	26	35		
2017	26	38		
2018	21	28		
2019	25	36		
2020	17	29		
2021	16	21		
2022	16	27		
2023	17	24	20.0	27.0
2024	16	26	32.0	31.0
