port	year	mean_LP	mean_Pi	abs_diff	rel_diff	pass_rel
Ashdod	2018	41.0	41.0	0.0	0.0	True
Ashdod	2019	42.0	42.0	0.0	0.0	True
Ashdod	2020	39.0	39.0	0.0	0.0	True
Ashdod	2021	38.97756406457147	38.958518067795055	0.01904599677641272	0.0004888788824890401	True
Haifa	2018	53.99999999999999	54.0	7.105427357601002e-15	1.3158198810372225e-16	True
Haifa	2019	56.0	56.0	0.0	0.0	True
Haifa	2020	52.0	52.0	0.0	0.0	True
Haifa	2021	46.99987655144752	46.98043795817684	0.019438593270677984	0.0004137593031376741	True
ALL	-1			0.019438593270677984	0.0004888788824890401	True
