month_str	year	month	Haifa_Bayport_KL	Haifa_Legacy_KL	Haifa_port_KL
2018-01	2018	1		553.9944855477372	5085.0930555557325
2018-02	2018	2		510.84809536966793	4728.746233862201
2018-03	2018	3		524.6762965667626	4905.518627192447
2018-04	2018	4		465.8693220664717	4406.205386821195
2018-05	2018	5		494.2040256970042	4735.512605927566
2018-06	2018	6		525.8362096007934	5112.169490119694
2018-07	2018	7		576.0150382712845	5689.75783908076
2018-08	2018	8		570.716750610737	5735.4934891163175
2018-09	2018	9		560.7418686348414	5740.625823028971
2018-10	2018	10		521.6034826205498	5446.36879475982
2018-11	2018	11		535.1568540597486	5705.69415902449
2018-12	2018	12		526.7022914489893	5739.957653004491
2019-01	2019	1		551.4693219215661	6053.165819738556
2019-02	2019	2		580.3301024918693	6427.476738462144
2019-03	2019	3		474.44183101482383	5311.810485734075
2019-04	2019	4		523.6706952631972	5937.501780357616
2019-05	2019	5		539.2291345429092	6202.923122205923
2019-06	2019	6		521.1314346740705	6093.094623640173
2019-07	2019	7		519.7610899570244	6187.979835058282
2019-08	2019	8		570.0768683011838	6923.335271841182
2019-09	2019	9		568.2940685539122	7052.912901106627
2019-10	2019	10		429.3961757096385	5455.53011497774
2019-11	2019	11		566.6620374815482	7383.270074000539
2019-12	2019	12		550.3100634565741	7366.011509337399
2020-01	2020	1		375.8332811064414	5057.142000256445
2020-02	2020	2		403.30142655018346	5454.125187083306
2020-03	2020	3		363.3307935185961	4937.186226412095
2020-04	2020	4		409.5720565411991	5590.912250056884
2020-05	2020	5		403.96008518990885	5538.039779997048
2020-06	2020	6		474.85338915154324	6536.274500869781
2020-07	2020	7		470.6442569528007	6502.835020611822
2020-08	2020	8		404.17559676541066	5604.078722615642
2020-09	2020	9		451.51472921275933	6280.794482831107
2020-10	2020	10		412.2544491251258	5751.76182371551
2020-11	2020	11		461.8690886419435	6461.483855755168
2020-12	2020	12		452.23282616044816	6344.243317299224
2021-01	2021	1		361.01146290821765	5089.318066145854
2021-02	2021	2		382.09400180657025	5409.266621029028
2021-03	2021	3		357.1268013722218	5073.693639828117
2021-04	2021	4		352.9190299870147	5028.191734207517
2021-05	2021	5		365.72185723568526	5221.8353676457045
2021-06	2021	6		356.39266501175683	5096.103579692173
2021-07	2021	7	65.661696766636	389.32471762053547	5430.373315214547
2021-08	2021	8	58.46189549471112	384.34585529130874	5348.444026811085
2021-09	2021	9	7857.980062288982	417.86871582235955	5989.640176857591
2021-10	2021	10	2204.6003923590984	367.64981971673365	5055.541972280987
2021-11	2021	11	4060.7433914958174	405.26551414203135	5649.68505541572
2021-12	2021	12	5847.357327158397	392.6935169155536	5607.445934418259
2022-01	2022	1	7087.251077267805	323.59730424393797	4766.147867950473
2022-02	2022	2	6206.578059637126	324.72597421269256	4758.954587529294
2022-03	2022	3	4410.468953134676	301.584637544234	4342.166064846873
2022-04	2022	4	2767.400322213539	357.92033149946695	4791.735893077568
2022-05	2022	5	1743.1351355918089	431.85275031020586	5065.508573765754
2022-06	2022	6	2016.109033588277	432.58668153218076	5239.087102446049
2022-07	2022	7	1501.8578499258008	590.6692943276557	5941.255514458534
2022-08	2022	8	1410.4398033612356	580.6329311378926	5691.67553069426
2022-09	2022	9	1282.1881623582851	900.7512462044605	6863.666137013934
2022-10	2022	10	1254.9071167426098	976.6632395106274	6937.13010527433
2022-11	2022	11	999.5903380954674	2833.135963619544	8001.336676544027
2022-12	2022	12	970.7038590539695	2973.718752353819	7669.791631119583
2023-01	2023	1	964.9356649623808	1913.2932119455947	7029.812504620519
2023-02	2023	2	1120.7096300854641	1754.209027039566	7720.421875131605
2023-03	2023	3	878.0969569221911	58106.469685271404	8351.597497574376
2023-04	2023	4	849.0175090540278	2457.999085780696	6769.881889841532
2023-05	2023	5	926.5568890553404	589.8035495469552	4577.33604188181
2023-06	2023	6	968.6190275811576	730.3093856411402	5193.063914675338
2023-07	2023	7	938.1489126591565	780.7200600777076	5263.4638259717085
2023-08	2023	8	1127.6754982152409	483.9476792280516	4503.331248823992
2023-09	2023	9	964.6582535359906	1270.416181079421	6469.189616086667
2023-10	2023	10	1309.771012197049	349.13110405754907	3808.698393876689
2023-11	2023	11	1570.2897057279895	574.9233900776709	5643.86163255953
2023-12	2023	12	1845.3287974787752	684.1629224116133	6660.917782543084
2024-01	2024	1	1656.054492433583	983.1929129110072	7936.458243857754
2024-02	2024	2	1409.4978356175022	858.0486844533443	6876.326986243516
2024-03	2024	3	1148.3883473896074	1811.257368535426	8333.552772369465
2024-04	2024	4	1911.8987039982414	758.1927234709018	7334.603400116692
2024-05	2024	5	1217.296414523138	1538.0857635065852	8292.0141657697
2024-06	2024	6	1956.8084436063232	779.4673639157313	7592.717224910203
2024-07	2024	7	1916.8440463746122	645.1529125987042	6691.893259751429
2024-08	2024	8	1640.1176739324799	624.6180144297432	6235.531617250076
2024-09	2024	9	1671.703268505272	571.2982907687401	5943.5389728576265
2024-10	2024	10	1494.6400491269185	617.3151735988729	6030.684894405617
2024-11	2024	11	1565.9526844867073	523.2220867266785	5526.272498136406
2024-12	2024	12	1513.288061103331	675.6460403075603	6456.7168276310995
