port	year	month	month_index	quarter	tons_port_m	TEU_port_m	L_hours_port_m
Ashdod	2023	9	202309	Q3	1601157.0	143153.8257987158	4351.805824804903
Ashdod	2023	10	202310	Q4	1353355.6	112121.43516112329	3553.0712640818324
Ashdod	2023	11	202311	Q4	1405591.0	111537.45673975603	3508.352184207415
Ashdod	2023	12	202312	Q4	1368176.6	103806.35809912065	3238.6393866745475
Ashdod	2024	1	202401	Q1	1322543.7999999998	104861.55907122328	2859.972897658298
Ashdod	2024	2	202402	Q1	1688545.2	137347.67277316542	3630.6225530666215
Ashdod	2024	3	202403	Q1	1676087.4	140788.5181556113	3577.0849952964154
Ashdod	2024	4	202404	Q2	1550867.2999999998	143374.32677162674	3291.1793104001727
Ashdod	2024	5	202405	Q2	1674636.9	158821.14582077647	3520.592151017311
Ashdod	2024	6	202406	Q2	1530292.5	145050.52740759682	3217.810084427783
Ashdod	2024	7	202407	Q3	1701165.7	173270.238837125	3577.460584129968
Ashdod	2024	8	202408	Q3	1743592.9000000001	176637.6558695013	3674.242385778449
Ashdod	2024	9	202409	Q3	1776113.7000000002	178186.60529337375	3756.6061837097695
Ashdod	2024	10	202410	Q4	1431902.7000000002	140530.84796913754	3019.7920499892834
Ashdod	2024	11	202411	Q4	1590222.6	156710.64569091419	3348.537561702732
Ashdod	2024	12	202412	Q4	2013631.5999999999	192522.25633994828	4287.480174660987
Haifa	2018	1	201801	Q1	2432458.313	112403.0	2240.986068059386
Haifa	2018	2	201802	Q1	2617941.7199999997	112638.0	2411.8690503993957
Haifa	2018	3	201803	Q1	2530486.29	126799.0	2331.2977209099176
Haifa	2018	4	201804	Q2	2830216.76	130683.0	2607.434748152321
Haifa	2018	5	201805	Q2	2650406.0009999997	127879.0	2441.777888319351
Haifa	2018	6	201806	Q2	2475433.3310000002	131558.0	2280.578284747295
Haifa	2018	7	201807	Q3	2246470.07	135914.0	2069.6379881526027
Haifa	2018	8	201808	Q3	2254746.21	127701.0	2077.262667407408
Haifa	2018	9	201809	Q3	2282924.06	111052.0	2103.2224830146847
Haifa	2018	10	201810	Q4	2442325.644	121552.0	2250.076686871537
Haifa	2018	11	201811	Q4	2369774.08	119024.0	2183.2360576730875
Haifa	2018	12	201812	Q4	2397849.86	111947.0	2209.1018377744954
Haifa	2019	1	201901	Q1	2470007.68	123013.0	2091.535512864611
Haifa	2019	2	201902	Q1	2325576.96	106443.0	1969.2354963607738
Haifa	2019	3	201903	Q1	2816989.27	125746.0	2385.350112580847
Haifa	2019	4	201904	Q2	2526060.42	127316.0	2138.999452856638
Haifa	2019	5	201905	Q2	2426771.23	118131.0	2054.9240596462973
Haifa	2019	6	201906	Q2	2482651.89	112027.0	2102.2422869614097
Haifa	2019	7	201907	Q3	2459658.8200000003	116265.0	2082.772378894249
Haifa	2019	8	201908	Q3	2214668.53	104006.0	1875.321245850808
Haifa	2019	9	201909	Q3	2192670.23	102448.0	1856.6936820398935
Haifa	2019	10	201910	Q4	2862368.2199999997	115624.0	2423.7757766911327
Haifa	2019	11	201911	Q4	2138066.59	112713.0	1810.4568006259558
Haifa	2019	12	201912	Q4	2168776.42	115423.0	1836.4610517702415
Haifa	2020	1	202001	Q1	2540187.838	124007.0	2669.5045169615605
Haifa	2020	2	202002	Q1	2352277.288	120547.0	2472.02775776068
Haifa	2020	3	202003	Q1	2597155.57	129194.0	2729.3723801250935
Haifa	2020	4	202004	Q2	2293926.19	132637.0	2410.7061037670483
Haifa	2020	5	202005	Q2	2317983.4639999997	120993.0	2435.988093015271
Haifa	2020	6	202006	Q2	1967243.95	112028.0	2067.393021858213
Haifa	2020	7	202007	Q3	1982088.98	124557.0	2082.993787300281
Haifa	2020	8	202008	Q3	2307125.04	113777.0	2424.5768849614974
Haifa	2020	9	202009	Q3	2066419.62	113342.0	2171.6175579642277
Haifa	2020	10	202010	Q4	2266698.5	132974.0	2382.092297986978
Haifa	2020	11	202011	Q4	2028255.7489999998	125407.0	2131.5108286526456
Haifa	2020	12	202012	Q4	2078591.4899999998	114971.0	2184.409077338815
Haifa	2021	1	202101	Q1	1498345.5	127132.0	2717.6274413264255
Haifa	2021	2	202102	Q1	1407982.0999999999	122928.0	2553.7306261182134
Haifa	2021	3	202103	Q1	1500388.3	126274.0	2721.3325743128707
Haifa	2021	4	202104	Q2	1514385.0999999999	121885.0	2746.71930105297
Haifa	2021	5	202105	Q2	1459727.5	134011.0	2647.583959012671
Haifa	2021	6	202106	Q2	1498401.0	130127.0	2717.728104573316
Haifa	2021	7	202107	Q3	1380398.8	121219.3201102416	2556.8643381526936
Haifa	2021	8	202108	Q3	1403292.5	123468.86949050722	2604.4821584781084
Haifa	2021	9	202109	Q3	1291716.4	111811.94831382045	2357.295547536139
Haifa	2021	10	202110	Q4	1492880.5	130478.46468712144	2858.636129051989
Haifa	2021	11	202111	Q4	1367014.1	120494.79483340096	2642.0402238872603
Haifa	2021	12	202112	Q4	1424899.7	126340.67682062853	2771.768196187416
Haifa	2022	1	202201	Q1	1461499.1	129769.08469563707	3253.113403121847
Haifa	2022	2	202202	Q1	1459075.3	130689.53196932572	3252.4890325562765
Haifa	2022	3	202203	Q1	1592099.4000000001	145506.13333503722	3561.208084167134
Haifa	2022	4	202204	Q2	1425364.8	145351.26918266682	3226.279685224111
Haifa	2022	5	202205	Q2	1323138.6	140243.87221216442	3053.3460678376714
Haifa	2022	6	202206	Q2	1286279.2	135190.85860516876	2955.687099718713
Haifa	2022	7	202207	Q3	1109435.5	126783.52644127823	2611.311489031081
Haifa	2022	8	202208	Q3	1157608.5	132034.17283312225	2732.9009015952615
Haifa	2022	9	202209	Q3	938265.2000000001	105197.55072559949	2273.7100206673344
Haifa	2022	10	202210	Q4	926270.6	140656.93839462573	2258.572053267841
Haifa	2022	11	202211	Q4	764510.0	93274.77131676266	1967.2695894645135
Haifa	2022	12	202212	Q4	799310.5	96110.54028861159	2063.19259698888
Haifa	2023	1	202301	Q1	926311.6	156009.4354391012	2244.535421486108
Haifa	2023	2	202302	Q1	816343.7999999999	151874.70963866188	2038.6420587579373
Haifa	2023	3	202303	Q1	889686.5	84471.85492223696	1880.571177709538
Haifa	2023	4	202304	Q2	992506.2000000001	105935.7461691156	2315.908823514025
Haifa	2023	5	202305	Q2	1172930.9000000001	169420.74838583983	3420.5746226410674
Haifa	2023	6	202306	Q2	1065118.8	147760.25544504458	3012.0600495787776
Haifa	2023	7	202307	Q3	1067451.6	131445.2064377424	2970.0038418284958
Haifa	2023	8	202308	Q3	1090791.9	151986.66880387234	3470.5770248816048
Haifa	2023	9	202309	Q3	934315.9	107619.62475838527	2416.3377679755563
Haifa	2023	10	202310	Q4	1164266.4	147914.3445231669	4106.455875646727
Haifa	2023	11	202311	Q4	835100.9	103068.06703837676	2773.7477704723115
Haifa	2023	12	202312	Q4	707471.4	87376.5884384563	2353.266404510118
Haifa	2024	1	202401	Q1	737276.8999999999	106280.84320827015	1968.860770614121
Haifa	2024	2	202402	Q1	850760.9	122154.12064016542	2265.4908666628953
Haifa	2024	3	202403	Q1	772148.2999999999	96320.78615156442	1863.830898536452
Haifa	2024	4	202404	Q2	755350.9	98103.67357274897	2111.635356401821
Haifa	2024	5	202405	Q2	756037.2999999999	88352.3603482159	1862.6686959823028
Haifa	2024	6	202406	Q2	725921.5	94259.46607903513	2028.8033722947662
Haifa	2024	7	202407	Q3	806388.5	94278.8500653163	2295.997216137113
Haifa	2024	8	202408	Q3	874817.0	102032.87623379241	2457.943487058581
Haifa	2024	9	202409	Q3	904670.1000000001	105745.02370089127	2572.57059476663
Haifa	2024	10	202410	Q4	908064.5	101085.32686055537	2529.6183699592125
Haifa	2024	11	202411	Q4	965822.5	107689.3903532858	2754.4882499727846
Haifa	2024	12	202412	Q4	851457.7000000001	94731.28278615884	2352.6404142962483
