model	reform	target	fe_type	spec_name	event_time	j	beta_hat	se	tvalue	pvalue	N_m	n_obs	treated_n	control_n	cov_type	cluster_by	r2
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	0	0	-0.366221660639205	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	1	1	-0.3688340279258475	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	2	2	-0.3713045215598356	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	3	3	-0.4177846205147637	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	4	4	-0.4203435370728954	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	5	5	-0.4229460309095776	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	6	6	-0.4252850000248873	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	7	7	-0.4278823233410256	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	8	8	-0.3544710127074246	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	9	9	-0.5996150021842845	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	10	10	-0.6019746073793701	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	11	11	-0.604296639702035	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	12	12	-0.6297937840398387	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	13	13	-0.642818714469214	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	14	14	-0.654927564832283	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	15	15	-0.7010858218056086	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	16	16	-0.7132269873832762	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	17	17	-0.7255483611486818	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	18	18	-0.6983546218696599	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	19	19	-0.7087619434423316	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	20	20	-0.7189911230867629	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	21	21	-0.6688418803948621	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	22	22	-0.6787223143248351	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	23	23	-0.6340721088463492	inf	-0.0	1.0	1	74	37	37	HC1		1.0
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	24	24					0	74	37	37	HC1		1.0
